Model,PMID,Runs,Count_variance,Count_min,Count_max,Pct_majority_count,Pct_unstable_count,Pct_under,Pct_exact,Pct_over,Variant_found_consistent,Pct_variant_found_yes,Pct_variant_found_no,Just_sem_mean,Just_sem_median,Just_sem_min,Just_sem_prop_ge_0_8,Just_sem_prop_ge_0_9,Reason_sem_mean,Reason_sem_median,Reason_sem_min,Reason_sem_prop_ge_0_8,Reason_sem_prop_ge_0_9,Semantic_mean_consolidated,Semantic_median_consolidated,Semantic_min_consolidated,Stability_index,Semantic_prop_ge_0_8_consolidated,Semantic_prop_ge_0_9_consolidated
Gemini 2.5 Pro,9537325,10,0,1,1,1,0,,,,TRUE,1,0,0.9544605612754822,0.9411816596984863,0.9223203659057617,1,1,0.9257741570472717,0.9465378522872925,0.8524039387702942,1,0.5333333333333333,0.9372487187385559,0.944395375,0.8524039387702942,0.9700586795806885,1,0.7666666666666666
Gemini 2.5 Pro,11575529,10,0,1,1,1,0,,,,TRUE,1,0,0.894793689,0.896710992,0.8127331733703613,1,0.4888888888888889,0.9395577311515808,0.9242855310440063,0.9112029075622559,1,1,0.9216521143913269,0.9132557153701781,0.8127331733703613,0.9585878551006317,1,0.7444444444444445
Gemini 2.5 Pro,12818575,10,0,1,1,1,0,,,,TRUE,1,0,0.9441372156143188,0.9368972778320312,0.9010980129241943,1,1,0.9313746690750122,0.8994535803794861,0.8820238709449768,1,0.4666666666666667,0.9364796876907349,0.9144310593605041,0.8820238709449768,0.9688779711723328,1,0.7333333333333334
Gemini 2.5 Pro,18446368,10,0,1,1,1,0,,,,TRUE,1,0,0.9637435674667358,0.9671370387077332,0.914634645,1,1,0.946087122,0.9434736371040344,0.8850008845329285,1,0.7333333333333333,0.9531497001647948,0.9529389977455139,0.8850008845329285,0.9774576723575592,1,0.8666666666666667
Gemini 2.5 Pro,19564454,10,0,1,1,1,0,,,,TRUE,1,0,0.9553029537200928,0.9394303560256958,0.9213171601295471,1,1,0.9402720928192139,0.9339557886123657,0.8638180494308472,1,0.8444444444444444,0.9462844371795653,0.9361456155776977,0.8638180494308472,0.9738937616348267,1,0.9222222222222223
Gemini 2.5 Pro,23399560,9,0,1,1,1,0,,,,TRUE,1,0,0.9661973118782043,0.962594748,0.939599872,1,1,0.9604440331459045,0.9540673494338989,0.9336414933204651,1,1,0.9627453446388244,0.9574783086776734,0.9336414933204651,0.9816603362560272,1,1
Gemini 2.5 Pro,23631430,10,0,1,1,1,0,,,,TRUE,1,0,0.8968179225921631,0.8929449915885925,0.7967040538787842,0.8222222222222222,0.4666666666666667,0.9198036193847656,0.9168573617935181,0.8607283234596252,1,0.6444444444444445,0.9106093406677247,0.9072924137115479,0.7967040538787842,0.9541553854942322,0.9111111111111111,0.5555555555555556
Gemini 2.5 Pro,24433488,10,0,1,1,1,0,,,,TRUE,1,0,0.912140429,0.9362655282020569,0.8324383497238159,1,0.5333333333333333,0.9116897583007812,0.8734668493270874,0.849094808,1,0.4666666666666667,0.911870027,0.8985863208770752,0.8324383497238159,0.9559575468301773,1,0.5
Gemini 2.5 Pro,28960912,10,0,1,1,1,0,,,,TRUE,1,0,0.9544162154197693,0.9283449053764343,0.9075767397880554,1,1,0.960483968,0.9574961066246033,0.8745661973953247,1,0.9555555555555556,0.9580568671226501,0.9458356261253358,0.8745661973953247,0.9787250459194183,1,0.9777777777777779
Gemini 2.5 Pro,30293990,10,0,1,1,1,0,,,,TRUE,1,0,0.9546868205070496,0.9515167474746704,0.8868097066879272,1,0.8222222222222222,0.9588534832000732,0.9696739912033081,0.8623628616333008,1,0.8,0.9571868181228638,0.9624110937118531,0.8623628616333008,0.9783850759267807,1,0.8111111111111111
Gemini 2.5 Pro,30997073,10,0,1,1,1,0,,,,TRUE,1,0,0.9298180341720581,0.9252399206161499,0.8485145568847656,1,0.8,0.9449185729026794,0.9387866258621216,0.8869774341583252,1,0.8222222222222222,0.9388783574104309,0.9333679437637329,0.8485145568847656,0.9686841517686844,1,0.8111111111111111
Gemini 2.5 Pro,32400968,10,0,1,1,1,0,,,,TRUE,1,0,0.8951061964035034,0.8791451454162598,0.8444430828094482,1,0.28888888888888886,0.9012991786003113,0.8919607996940613,0.8428195118904114,1,0.4666666666666667,0.8988219857215881,0.8868345379829408,0.8428195118904114,0.9491013437509537,1,0.37777777777777777
Gemini 2.5 Pro,35151254,10,0,1,1,1,0,,,,TRUE,1,0,0.935742199,0.9435247182846069,0.8873956799507141,1,0.5333333333333333,0.9448614120483398,0.9226115345954895,0.9034824371337891,1,1,0.9412137269973755,0.9309768080711365,0.8873956799507141,0.9701509028673172,1,0.7666666666666666
GPT-5,9537325,10,0,1,1,1,0,,,,TRUE,1,0,0.9344817399978638,0.9372984766960144,0.9117937684059143,1,1,0.8677329421043396,0.8741594552993774,0.7657603025436401,0.9111111111111111,0.17777777777777778,0.8944324612617492,0.8994150638580323,0.7657603025436401,0.9505536705255508,0.9555555555555555,0.5888888888888889
GPT-5,11575529,10,0,1,1,1,0,,,,TRUE,1,0,0.9200310707092285,0.9189884662628174,0.865009606,1,0.8222222222222222,0.8899890184402466,0.8871665596961975,0.8358061909675598,1,0.3111111111111111,0.9020058393478393,0.8998953223228454,0.8358061909675598,0.9525050222873688,1,0.5666666666666667
GPT-5,18446368,10,0,1,1,1,0,,,,TRUE,1,0,0.9430379867553711,0.9471514821052551,0.886729896,1,0.9777777777777777,0.8861863613128662,0.8866019248962402,0.8232138156890869,1,0.24444444444444444,0.9089270114898682,0.9108217477798461,0.8232138156890869,0.9573060870170593,1,0.611111111
GPT-5,23399560,10,0,1,1,1,0,,,,TRUE,1,0,0.9364511370658875,0.9381370544433594,0.8977760076522827,1,0.9777777777777777,0.9066628217697144,0.9068930149078369,0.8554842472076416,1,0.6444444444444445,0.9185781478881836,0.9193906307220459,0.8554842472076416,0.9607784897089005,1,0.8111111111111111
GPT-5,23631430,10,0,1,1,1,0,,,,TRUE,1,0,0.9423837661743164,0.9470885396003723,0.8822154402732849,1,0.9777777777777777,0.8891509175300598,0.8910516500473022,0.8018189668655396,1,0.4222222222222222,0.9104440569877624,0.9134664058685302,0.8018189668655396,0.957883671,1,0.7
GPT-5,24433488,10,0,1,1,1,0,,,,TRUE,1,0,0.9239975810050964,0.9293171167373657,0.8414487838745117,1,0.8666666666666667,0.8763861060142517,0.8804363012313843,0.8203094601631165,1,0.2222222222222222,0.8954306960105897,0.8999886274337769,0.8203094601631165,0.950095922,1,0.5444444444444445
GPT-5,28960912,10,0,1,1,1,0,,,,TRUE,1,0,0.9426016807556152,0.9437580704689026,0.9183349013328552,1,1,0.9100926518440247,0.91034174,0.8587801456451416,1,0.6666666666666666,0.9230962634086609,0.9237082719802856,0.8587801456451416,0.963173583,1,0.8333333333333333
GPT-5,30293990,10,0,1,1,1,0,,,,TRUE,1,0,0.9297232031822205,0.9325951337814331,0.8977714776992798,1,0.9777777777777777,0.905824602,0.9095710515975952,0.8264840841293335,1,0.6,0.915384042,0.9187806844711304,0.8264840841293335,0.9588869512081146,1,0.7888888888888889
GPT-5,30997073,10,0,1,1,1,0,,,,TRUE,1,0,0.9405304193496704,0.942552924,0.9147747755050659,1,1,0.8954708576202393,0.8986042737960815,0.8435967564582825,1,0.4666666666666667,0.9134946823120117,0.9161837339401244,0.8435967564582825,0.9590003192424774,1,0.7333333333333334
GPT-5,32400968,10,0,1,1,1,0,,,,TRUE,1,0,0.9393729567527771,0.9409573078155518,0.896712065,1,0.9777777777777777,0.9128946661949158,0.9111087918281555,0.8533546924591064,1,0.8222222222222222,0.9234859824180603,0.923048198,0.8533546924591064,0.9630669057369232,1,0.8999999999999999
GPT-5,35151254,10,0,1,1,1,0,,,,TRUE,1,0,0.9344286322593689,0.9362984299659729,0.9076123237609863,1,1,0.8958854079246521,0.898285449,0.8365738987922668,1,0.4666666666666667,0.9113026976585388,0.913490641,0.8365738987922668,0.9575785100460052,1,0.7333333333333334
o3,9537325,10,0,1,1,1,0,,,,TRUE,1,0,0.869557798,0.8874804377555847,0.7497100234031677,0.8666666666666667,0.26666666666666666,0.833885133,0.8525526523590088,0.6952514052391052,0.7777777777777778,0.044444444444444446,0.8481541991233825,0.8665237665176392,0.6952514052391052,0.925860733,0.8222222222222222,0.15555555555555556
o3,11575529,10,0,1,1,1,0,,,,TRUE,1,0,0.8789178729057312,0.8832727670669556,0.7784804105758667,0.9555555555555556,0.35555555555555557,0.816615641,0.8310246467590332,0.5688548684120178,0.6888888888888889,0.022222222222222223,0.841536534,0.8519238948822021,0.5688548684120178,0.9238833785057068,0.8222222222222222,0.18888888888888888
o3,12818575,10,0,1,1,1,0,,,,TRUE,1,0,0.8423329591751099,0.8468994498252869,0.7303658723831177,0.8666666666666667,0.044444444444444446,0.8010137677192688,0.7956950664520264,0.680404782,0.4666666666666667,0,0.8175414443016052,0.8161768198013306,0.680404782,0.9108366817235947,0.6666666666666667,0.022222222222222223
o3,18446368,10,0,1,1,1,0,,,,TRUE,1,0,0.8880797624588013,0.8922240138053894,0.8267624378204346,1,0.3333333333333333,0.8412375450134277,0.8454339504241943,0.7666328549385071,0.8444444444444444,0.044444444444444446,0.8599744319915772,0.8641499757766723,0.7666328549385071,0.9323293268680573,0.9222222222222223,0.18888888888888888
o3,19564454,10,0,1,1,1,0,,,,TRUE,1,0,0.8919338583946228,0.8991301655769348,0.8027582168579102,1,0.4666666666666667,0.8440736532211304,0.8479971289634705,0.7119531631469727,0.8,0.1111111111111111,0.8632177352905274,0.8684503436088562,0.7119531631469727,0.9340018779039383,0.9,0.28888888888888886
o3,23399560,10,0,1,1,1,0,,,,TRUE,1,0,0.8639305830001831,0.8617689609527588,0.7516001462936401,0.9555555555555556,0.15555555555555556,0.8104746341705322,0.8195410370826721,0.6915616393089294,0.6444444444444445,0.022222222222222223,0.8318570137023926,0.8364322066307068,0.6915616393089294,0.9186013042926788,0.8,0.088888889
o3,23631430,10,0,1,1,1,0,,,,TRUE,1,0,0.8780778646469116,0.877553403,0.7965264320373535,0.9777777777777777,0.35555555555555557,0.857064962,0.857725978,0.6783146858215332,0.9333333333333333,0.088888889,0.8654701232910157,0.8656569480895997,0.6783146858215332,0.9337857067584991,0.9555555555555555,0.22222222222222224
o3,24433488,10,0,1,1,1,0,,,,TRUE,1,0,0.8465060591697693,0.8500210046768188,0.7597635984420776,0.8888888888888888,0.044444444444444446,0.8145300149917603,0.8175985813140869,0.7095066905021667,0.6888888888888889,0.022222222222222223,0.8273204326629638,0.8305675506591796,0.7095066905021667,0.9152590185403824,0.7888888888888889,0.033333333
o3,28960912,10,0,1,1,1,0,,,,TRUE,1,0,0.9068988561630249,0.9074755907058716,0.8524963855743408,1,0.6222222222222222,0.8704487085342407,0.872361422,0.8003979921340942,1,0.24444444444444444,0.8850287675857544,0.8864070892333984,0.8003979921340942,0.9443368911743164,1,0.43333333333333335
o3,30293990,10,0,1,1,1,0,,,,TRUE,1,0,0.8853272199630737,0.895340621,0.778903067,0.9555555555555556,0.4222222222222222,0.8331789374351501,0.8320685029029846,0.7068732976913452,0.8,0.022222222222222223,0.8540382504463195,0.8573773503303528,0.7068732976913452,0.929626539,0.8777777777777778,0.2222222222222222
o3,30997073,10,0,1,1,1,0,,,,TRUE,1,0,0.8900234699249268,0.8968346118927002,0.7821710109710693,0.9777777777777777,0.4444444444444444,0.7963644862174988,0.8164442777633667,0.6346818208694458,0.5555555555555556,0.022222222222222223,0.83382808,0.848600411,0.6346818208694458,0.9215969890356064,0.7666666666666666,0.2333333333333333
o3,32400968,10,0,1,1,1,0,,,,TRUE,1,0,0.8890128135681152,0.9005975723266602,0.7846830487251282,0.9777777777777777,0.5111111111111111,0.8729209899902344,0.8774970173835754,0.7805659770965576,0.9777777777777777,0.17777777777777778,0.8793577194213867,0.8867372393608093,0.7805659770965576,0.9404834508895874,0.9777777777777777,0.34444444444444444
o3,35151254,10,0,1,1,1,0,,,,TRUE,1,0,0.8586072325706482,0.8608446717262268,0.7844257950782776,0.9333333333333333,0.1111111111111111,0.8410249352455139,0.8507367372512817,0.6577425003051758,0.8,0.1111111111111111,0.8480578541755677,0.8547799110412598,0.6577425003051758,0.9249080419540405,0.8666666666666667,0.1111111111111111
Claude Sonnet 4,9537325,10,0.9600000000000002,1,3,0.6,0.4,,,,TRUE,1,0,0.8608195185661316,0.8666678071022034,0.7390890121459961,0.8222222222222222,0.3111111111111111,0.8144826292991638,0.8208425045013428,0.6391522288322449,0.6444444444444445,0.088888889,0.8330173850059509,0.8391726255416869,0.6391522288322449,0.7988255369663239,0.7333333333333334,0.2
Claude Sonnet 4,11575529,10,0,1,1,1,0,,,,TRUE,1,0,0.8930917382240295,0.8912276029586792,0.8148061037063599,1,0.4444444444444444,0.8065621852874756,0.8001728057861328,0.6058249473571777,0.5111111111111111,0.15555555555555556,0.8411740064620972,0.8365947246551513,0.6058249473571777,0.9249134808778763,0.7555555555555555,0.3
